,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample895,895,U3,2,2,4,4,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample896,896,U4,2,2,4,4,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample897,897,U5,2,2,4,4,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample898,898,FMT-YO-D4-G1-1,18,2,4,4,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,96,G,FMT-UM,
sample899,899,FMT-YO-D4-G2-1,18,2,4,4,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,97,G,FMT-UM,
sample900,900,FMT-YO-D4-G3-1,18,2,4,4,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,98,G,FMT-UM,
sample901,901,FMT-YO-D4-G4-1,18,2,4,4,NA,1,NA,2,YO,G4,NA,NA,NA,NA,NA,NA,99,G,FMT-UM,
sample902,902,FMT-YO-D4-G5-1,18,2,4,4,NA,1,NA,2,YO,G5,NA,NA,NA,NA,NA,NA,100,G,FMT-UM,
sample903,903,H1,18,2,4,4,NA,1,1,2,YO,H1,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample904,904,H2,18,2,4,4,NA,1,1,2,YO,H2,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample905,905,H3,18,2,4,4,NA,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample906,906,H4,18,2,4,4,NA,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample907,907,H5,18,2,4,4,NA,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample913,913,V1,2,2,4,4,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample914,914,V2,2,2,4,4,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample915,915,V3,2,2,4,4,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample916,916,V4,2,2,4,4,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample917,917,V5,2,2,4,4,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample918,918,FMT-OY-D4-W1-1,2,2,4,4,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,101,W,FMT-UM,
sample919,919,FMT-OY-D4-W2-1,2,2,4,4,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,102,W,FMT-UM,
sample920,920,FMT-OY-D4-W3-1,2,2,4,4,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,103,W,FMT-UM,
sample921,921,FMT-OY-D4-W4-1,2,2,4,4,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,104,W,FMT-UM,
sample922,922,FMT-OY-D4-W5-1,2,2,4,4,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,105,W,FMT-UM,
sample928,928,FMT-OO-D4-J1-1,18,2,4,4,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,106,J,FMT-M,
