timeFMT,donor2acceptor,value,id,cage
41,YO,,9,1
49,YO,,9,1
1,YO,0.013146472,10,1
2,YO,-0.029393526,10,1
3,YO,-0.038653934,10,1
4,YO,-0.031998016,10,1
5,YO,-0.048493117,10,1
6,YO,-0.071644136,10,1
7,YO,-0.096531481,10,1
8,YO,-0.140807805,10,1
9,YO,-0.165405763,10,1
10,YO,-0.182769027,10,1
11,YO,,10,1
12,YO,,10,1
13,YO,,10,1
14,YO,,10,1
15,YO,,10,1
16,YO,,10,1
17,YO,,10,1
19,YO,,10,1
21,YO,,10,1
24,YO,,10,1
28,YO,,10,1
31,YO,,10,1
35,YO,,10,1
41,YO,,10,1
49,YO,,10,1
